product_id,customer_id,rating,review_text
21,94,3,Art suffer everything computer way red upon.
6,86,5,Consider prepare smile they realize wonder election.
72,55,4,Project local north since cut discover as.
61,103,5,Wear himself technology stock.
63,65,1,Half character sell response.
35,42,1,Anyone story after system culture any.
20,190,5,Manager person national option of memory.
55,59,4,General watch quite such identify treatment debate.
89,81,3,Sort weight late easy lose explain.
54,199,5,Especially experience yes each discussion town.
8,35,4,Tax affect four what pass now glass hear.
89,106,1,Network watch write statement.
1,98,5,Box week box exactly time.
2,150,1,How arm contain computer be.
25,99,3,Account outside from I effort.
64,188,5,Sometimes family be trade.
88,47,1,Sea difficult tree rock.
10,45,3,Work argue father increase bit community.
15,12,1,Free development both myself begin.
71,101,4,About president stay crime support prevent.
20,145,2,Process local set.
77,9,5,Generation base wall century send.
93,29,3,No produce site floor feel media.
48,116,4,Nice star avoid line discover eye.
40,119,4,Various heart member something similar hit note them.
80,198,1,Everybody report inside attorney.
26,106,1,Thing risk explain positive professional specific yet.
7,35,5,Include enter food behind hundred front create.
60,74,5,Throw radio they actually read assume agent.
7,39,3,Draw natural entire upon these.
47,182,3,Ago own bill lay.
68,125,5,Easy magazine worry nearly hospital ok interest.
43,136,2,Item mind nature professional policy.
45,26,1,Plant they test energy foot home moment attack.
87,180,3,He will without.
18,77,5,Less evidence might long where can long.
26,66,4,Age democratic safe vote environment certainly close.
90,179,5,Note to nearly.
28,127,2,Break pass various born lawyer want brother.
34,155,5,Rich subject camera process girl.
58,200,5,Vote last too least particularly local pattern.
94,106,3,Fall arm keep.
87,126,2,Identify politics even statement prove almost attention.
5,175,5,Degree beat car respond event far.
8,83,1,Thousand phone difference involve.
54,95,5,Phone picture help lay true music its.
95,167,4,Give pay point focus write might exactly.
8,134,5,Management you science amount good receive.
30,66,3,Clear bit vote figure.
45,196,2,Radio pick assume detail.
33,82,1,Certain leave quality consider.
24,163,4,Recently wonder face understand message discover.
51,191,4,Security space its born set follow friend.
81,183,3,Whatever author grow very perform measure.
22,165,2,Approach choose set simply suddenly simple meeting.
83,158,5,Feel whom break available voice top power.
60,185,4,Type let every first lot source room.
11,16,1,Night against rich skill conference.
56,115,2,Worker by write significant point television magazine.
72,153,2,Best imagine upon ground unit.
80,130,2,Seat follow book employee.
81,118,4,Alone wait pull far debate front.
77,2,1,Country team pay heavy reveal one program.
36,148,4,Truth public ground much short allow.
84,22,1,Seem treat him believe treat interview.
88,147,2,Still clear if only system record worry.
53,53,5,Ok attention other thousand value control.
11,123,2,Three financial travel American woman.
68,151,4,Thought black let catch matter son.
4,164,1,Street make every value again skill.
95,141,5,Claim industry contain process article.
93,195,4,Seven partner these upon.
8,135,4,Sign baby campaign want reflect feeling.
48,147,2,Key summer something PM.
44,49,5,Agency site city scientist per before.
5,43,4,Finish when daughter.
46,137,4,Because heart property way hard area.
85,55,4,Movement exist head much.
80,60,4,Especially age smile politics while consumer seek.
99,47,1,Treat herself have scene seek.
53,57,2,Agent major government no peace them last.
100,112,5,Security mind carry across lawyer.
28,143,4,Call assume sea family card.
83,193,5,Top buy popular door minute begin.
22,146,4,Agree child effect manage interview.
52,193,4,Particular heart push model the break.
32,43,2,Social decade plan go song general after.
27,178,4,Her every point mother.
49,106,2,Free whole happy.
81,94,1,Mean on attorney.
75,46,2,Scientist degree get approach.
100,155,2,One while form director long without sound follow.
2,74,2,Stock school development single news response not.
76,34,3,Newspaper example history possible know Congress land.
3,98,1,Resource cup base.
13,71,3,Soldier popular at heart character put sign.
7,144,2,System all human.
19,114,2,Manage live resource once phone smile short.
88,118,3,Research field quite drive decision live control.
42,39,1,Stand season early consider garden for front.
70,195,3,Interview important present him tonight table rule.
42,24,2,News everything some one customer exist rather.
45,105,2,National brother ground citizen face nice last.
14,141,3,Feel gun add seat special test front.
41,53,5,Security TV authority computer piece past yes forget.
54,105,1,Figure responsibility same be million mother teacher example.
11,156,5,Trouble boy east identify body growth.
22,170,1,Benefit knowledge seven make game popular.
53,68,2,Whether letter let.
44,7,5,Pm if eight number add.
9,43,3,Rest can piece guy.
83,125,1,Task southern sound beautiful performance least method court.
16,154,4,Age travel from show above create morning.
8,16,1,Customer strategy either somebody author.
39,46,1,Push fast learn song.
51,128,4,Read white she class former reveal page.
12,191,1,Treatment middle guy standard hard treat.
61,21,2,Foot suffer amount writer perhaps over tend.
23,159,4,View top financial suggest take next.
25,145,1,Sister up officer international ok.
37,84,1,Keep lead road consider itself.
28,41,2,South statement coach admit if.
88,88,2,Store ability white catch.
64,152,2,Price serve fish.
3,72,4,Financial bill thousand.
34,31,1,Guess while attorney throw thousand security safe.
54,59,1,Reflect none see question.
99,145,4,Industry citizen community try.
55,104,1,Assume city drug not.
40,145,4,Mouth fund though work wish five.
29,79,2,Third campaign lay person summer.
27,84,4,Field treat side economic.
61,86,4,Such increase subject again left be today.
65,196,3,Play successful cultural argue participant somebody some.
16,150,1,Grow term protect court.
100,48,4,Impact task miss in.
6,54,1,Edge cup often technology four fund.
95,74,1,Responsibility team laugh appear within last sing.
61,200,1,Maintain Congress institution game possible.
48,181,4,Determine never and board blood.
44,199,4,Stand TV color use like.
91,27,5,Better speech simple similar wait successful with.
27,67,4,Second million quality fish our Democrat.
43,45,2,Attack smile position purpose stand from.
60,128,4,Everything a resource kitchen heart here as interview.
16,17,3,International will to may significant career suddenly.
84,8,2,Form senior sort nearly black base most newspaper.
48,116,2,Indeed teach serious teacher memory collection.
84,155,4,Eight condition military lead chance.
62,151,5,Public goal lot.
39,189,5,Ahead wish building fall.
92,156,4,Ball yet create item.
95,119,1,Imagine player area responsibility natural nothing.
89,127,2,Town present positive.
45,174,5,Show but ability nation development suddenly question.
8,177,4,Contain myself measure responsibility toward next.
16,189,1,Teacher home address you agree.
11,47,5,Benefit represent a pull night fly enjoy.
80,142,2,Degree public possible that employee hotel.
23,78,3,Represent suffer wrong already new business.
14,91,5,Reflect choice war.
51,119,4,Environmental age put sound successful property dream race.
84,48,2,Bag arm thing government.
86,38,3,Everyone car indicate attack shake drug.
68,168,4,Reduce our imagine response mind serve.
78,158,1,Last despite move street quickly foreign.
